ID	AffiliatedApex	TaskDesc	Priority	TaskCondition	TaskConditionPara	TaskCompleteType	IsRookieComplete	TaskReward	NotifyBattleServer	UnlockCondition	ConditionPara
1001	1	[自走棋]首次招募武将	3	1	{'Count': 1}	1	1	[{'ItemID': 401202402, 'Num': 10}]	0		
1002	1	[自走棋]招募2名武将	2	1	{'Count': 2}	1	1	[{'ItemID': 401202402, 'Num': 10}]	0		
1003	1	[自走棋]招募3名武将	2	1	{'Count': 3}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	1002
1004	1	[自走棋]招募10名武将	2	1	{'Count': 10}	1	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	1003
1005	1	[自走棋]招募50名武将	2	1	{'Count': 50}	1	0	[{'ItemID': 401202402, 'Num': 50}]	0	2	1004
1006	1	[自走棋]招募120名武将	1	1	{'Count': 120}	1	0	[{'ItemID': 401202402, 'Num': 80}]	0	2	1005
2001	2	[自走棋]首次上阵武将	3	2	{'Count': 1}	1	1	[{'ItemID': 401202402, 'Num': 10}]	0		
2002	2	[自走棋]上阵2名武将	1	2	{'Count': 2}	1	1	[{'ItemID': 401202402, 'Num': 20}]	0		
3001	3	[自走棋]合成1名金色武将	3	3	{'Count': 1}	2	1	[{'ItemID': 401202402, 'Num': 10}]	0		
3002	3	[自走棋]合成2名金色武将	2	3	{'Count': 2}	2	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	3001
3003	3	[自走棋]合成3名金色武将	2	3	{'Count': 3}	2	0	[{'ItemID': 401202402, 'Num': 30}]	0	2	3002
3004	3	[自走棋]合成10名金色武将	1	3	{'Count': 10}	2	0	[{'ItemID': 401202402, 'Num': 50}]	0	2	3003
4001	4	[自走棋]击败1名敌方武将	2	4	{'Count': 1}	1	1	[{'ItemID': 401202402, 'Num': 10}]	1		
4002	4	[自走棋]击败3名敌方武将	2	4	{'Count': 3}	1	1	[{'ItemID': 401202402, 'Num': 10}]	1		
4003	4	[自走棋]击败6名敌方武将	2	4	{'Count': 6}	1	1	[{'ItemID': 401202402, 'Num': 10}]	1		
5001	5	[自走棋]首次升级营帐	3	5	{'Count': 1}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0		
5002	5	[自走棋]升级2次营帐	2	5	{'Count': 2}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	5001
5003	5	[自走棋]升级5次营帐	2	5	{'Count': 5}	1	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	5002
5004	5	[自走棋]升级10次营帐	1	5	{'Count': 10}	1	0	[{'ItemID': 401202402, 'Num': 50}]	0	2	5003
6001	6	[自走棋]营帐到达3级	3	6	{'Count': 1, 'ChessRank': 3}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	5001
6002	6	[自走棋]营帐到达5级	1	6	{'Count': 1, 'ChessRank': 5}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	6001
6003	6	[自走棋]营帐到达6级	1	6	{'Count': 1, 'ChessRank': 6}	1	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	6002
7001	7	[自走棋]使用1张锦囊牌	3	7	{'Count': 1}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	5001
