BuffID	BuffDesc	IsSaved	IsRecorded	IsDeleted	IsOverlapped	OverlapTyp	EffectTyp	EffectPara	BuffPriority	BuffSpecialType	ActivateRound	IsDeleteSourceExit
10061	获得营帐等级攻击（激将）	0	1	1	1	1	3	10061	3	1	1	
10062	咆哮（激将）	0	1	1	1	1	11	10062	3		1	
10063	攻击+1（激将）	1	1	1	1	1	3	10063	3	1		
10064	体力+1（激将）	1	1	1	1	1	2	10064	3	1		
10151	攻击+2（辟境）	0	1	1	1	1	3	10151	3	1		
10152	体力+1（辟境）	0	1	1	1	1	2	10152	3	1		
10163	获得技能杀绝：永久获得+1/+1（白起）	0	1	1	1	1	8	10163	3			
10164	攻击永久+1	1	1	1	1	1	3	10164	3	1		
10165	体力永久+1	1	1	1	1	1	2	10165	3	1		
10171	挑衅（蒙恬）	1	1	1	0		16	10171	3			
10172	攻击+1（蒙恬）	1	1	1	1	1	3	10172	3	1		
10173	体力+2（蒙恬）	1	1	1	1	1	2	10173	3	1		
10202	攻击+胜利回合数（霍去病）	1	1	1	1	1	3	10202	3	1		
10203	体力+胜利回合数（霍去病）	1	1	1	1	1	2	10203	3	1		
10282	攻击+8	0	1	1	1	1	3	10282	3	1		
10283	体力+8	0	1	1	1	1	2	10283	3	1		
10284	御策	0	1	1	1	1	9	10284	3			
40001	+8/+8	0		1	1	1	2	1	3			
40002	+16生命值	0		1	1	1	2	2	3			
40003	获得2张整备随从	0		0	0		5		3			
40004	获得4张整备随从	0		0	0		5		3			
40005	造成3点伤害2次	0		0	0		26		3			
40006	获得1层破势	1		0	1	1	12		3			
40007	造成3点伤害4次	0		0	0		26		3			
40008	获得2层破势	1		0	1	1	12		3			
40009	获得商店最左侧的物品	0		0	0		20		3			
40010	获得商店最左侧的物品，触发两次	0		0	0		20		3			
40011	+8攻击力	0		1	1	1	3	3	3			
40012	本局游戏你每使用过一张当先牌，获得+1/+1	1		1	1	1	3	4	3			
40013	本局游戏你每使用过一张当先牌，获得+1/+1	1		1	1	1	2	5	3			
40014	咆哮	1		1	1	1	11	1	3			
40015	战吼：攻击力变为2倍。	0		1	1	1	3	6	3			
40016	进攻时，触发自身战吼	1		1	1	1	27	1	3			
40017	永久体力+1	1	1	1	1	1	2	7	3	1		
40018	体力翻倍	0	1	1	1	1	2	8	3	1		
40019	体力+1	1	1	1	1	1	2	9	3	1		
40020	体力翻倍	0	1	1	1	1	2	10	3	1		
40021	体力+1	1	1	1	1	1	2	11	3	1		
40022	体力-2	0	1	1	1	1	2	12	3	1		
40023	体力减半	1	1	1	1	1	2	13	3	1		
40024	体力+2	0	1	1	1	1	2	14	3	1		
40025	体力-2	1	1	1	1	1	2	15	3	1		
40026	体力-1	0	1	1	1	1	2	16	3	1		
40027	体力+2	1	1	1	1	1	2	17	3	1		
40028	体力-1	0	1	1	1	1	2	18	3	1		
40029	体力翻倍	1	1	1	1	1	2	19	3	1		
40030	体力减半	1	1	1	1	1	2	20	3	1		
40031	体力+2	0	1	1	1	1	2	21	3	1		
40032	体力翻倍	0	1	1	1	1	2	22	3	1		
40033	体力+2	1	1	1	1	1	2	23	3	1		
40034	攻击永久+2	1	1	1	1	1	3	24	3	1		
40035	体力永久+2	1	1	1	1	1	2	25	3	1		
40036	造成张宁攻击一半伤害	0	0	0	1	1	26	1	3			
40037	获得技能遗计：召唤1个黄巾兵	0	1	0	1	1	8	1	3			
40038	召唤一个黄巾兵	0	0	0	0		1	1	3			
40039	获得技能“攻击后，触发自身遗计效果1次”	1	1	1	1	1	8	2	3			1
40040	触发自身遗计效果1次	0	0	0	0		27	2	3			
40041	造成7点伤害	0	0	0	1	1	26	2	3			
40042	攻击永久+2	1	1	1	1	1	3	26	3	1		
40043	体力永久+2	1	1	1	1	1	2	27	3	1		
40044	咆哮	1	1	1	1	1	11	1	3			
40045	攻击永久+1	1	1	1	1	1	3	28	3	1		
40046	体力永久+1	1	1	1	1	1	2	29	3	1		
40047	获得技能遗计：召唤1个黄巾兵	0	1	0	1	1	8	3	3			
40048	召唤一个黄巾兵	0	0	0	0		1	2	3			
40049	造成3点伤害	0	0	0	1	1	26	5	3			
40050	攻击永久+3	1	1	1	1	1	3	30	3	1		
40051	体力永久+3	1	1	1	1	1	2	31	3	1		
40052	攻击永久+1	1	1	1	1	1	3	32	3	1		
40053	体力永久+2	1	1	1	1	1	2	33	3	1		
40054	造成3点伤害	0	0	0	1	1	26	3	3			
40055	触发自身遗计效果1次	0	0	0	0		27	3	3			
40056	挑衅	1	1	1	0		16	2	3			
40057	上阵一个黄巾兵	0	0	0	0		1	3	3			
40058	攻击永久+2	1	1	1	1	1	3	34	3	1		
40059	体力永久+2	1	1	1	1	1	2	35	3	1		
40060	攻击+1	0	1	1	1	1	3	36	3	1		
40061	体力+2	0	1	1	1	1	2	37	3	1		
40062	攻击永久+1	1	1	1	1	1	3	38	3	1		
40063	体力永久+1	1	1	1	1	1	2	39	3	1		
40064	造成3点伤害	0	0	0	1	1	26	4	3			
40065	上阵一个黄巾兵	0	0	0	0		1	4	3			
40066	攻击永久+4	1	1	1	1	1	3	40	3	1		
40067	体力永久+4	1	1	1	1	1	2	41	3	1		
40068	造成张宁攻击伤害	0	0	0	1	1	26	6	3			
40069	获得技能遗计：召唤1个金色黄巾兵	0	1	0	1	1	8	4	3			
40070	召唤一个金色黄巾兵	0	0	0	0		1	5	3			
40071	获得技能“攻击后，触发自身遗计效果2次”	1	1	1	1	1	8	5	3			1
40072	触发自身遗计效果2次	0	0	0	0		27	4	3			
40073	造成14点伤害	0	0	0	1	1	26	7	3			
40074	攻击永久+4	1	1	1	1	1	3	42	3	1		
40075	体力永久+4	1	1	1	1	1	2	43	3	1		
40076	咆哮	1	1	1	1	1	11	3	3			
40077	攻击永久+2	1	1	1	1	1	3	44	3	1		
40078	体力永久+2	1	1	1	1	1	2	45	3	1		
40079	获得技能遗计：召唤1个金色黄巾兵	0	1	0	1	1	8	6	3			
40080	召唤一个金色黄巾兵	0	0	0	0		1	6	3			
40081	造成6点伤害	0	0	0	1	1	26	8	3			
40082	攻击永久+6	1	1	1	1	1	3	46	3	1		
40083	体力永久+6	1	1	1	1	1	2	47	3	1		
40084	攻击永久+2	1	1	1	1	1	3	48	3	1		
40085	体力永久+4	1	1	1	1	1	2	49	3	1		
40086	造成3点伤害	0	0	0	1	1	26	9	3			
40087	触发自身遗计效果2次	0	0	0	0		27	5	3			
40088	挑衅	1	1	1	0		16	4	3			
40089	上阵1个金色黄巾兵	0	0	0	0		1	7	3			
40090	攻击永久+4	1	1	1	1	1	3	50	3	1		
40091	体力永久+4	1	1	1	1	1	2	51	3	1		
40092	攻击+2	0	1	1	1	1	3	52	3	1		
40093	体力+4	0	1	1	1	1	2	53	3	1		
40094	攻击永久+2	1	1	1	1	1	3	54	3	1		
40095	体力永久+2	1	1	1	1	1	2	55	3	1		
40096	造成3点伤害	0	0	0	1	1	26	10	3			
40097	上阵一个金色黄巾兵	0	0	0	0		1	8	3			
40098	攻击永久+1	1	1	1	1	1	3	56	3	1		
40099	体力永久+1	1	1	1	1	1	2	57	3	1		
40100	攻击永久+2	1	1	1	1	1	3	58	3	1		
40101	体力永久+2	1	1	1	1	1	2	59	3	1		
40102	攻击永久+1	1	1	1	1	1	3	60	3	1		
40103	体力永久+1	1	1	1	1	1	2	61	3	1		
40104	攻击永久+2	1	1	1	1	1	3	62	3	1		
40105	体力永久+2	1	1	1	1	1	2	63	3	1		
40106	攻击+2	0	1	1	1	1	3	64	3	1		
40107	体力+3	0	1	1	1	1	2	65	3	1		
40108	攻击+4	0	1	1	1	1	3	66	3	1		
40109	体力+6	0	1	1	1	1	2	67	3	1		
40110	攻击+1	0	1	1	1	1	3	68	3	1		
40111	体力+1	0	1	1	1	1	2	69	3	1		
40112	攻击+2	0	1	1	1	1	3	70	3	1		
40113	体力+2	0	1	1	1	1	2	71	3	1		
40114	1张随机锦囊牌加入手牌	0	0	0	0		6	1	3			
40115	2张随机锦囊牌加入手牌	0	0	0	0		6	2	3			
40116	造成1点伤害	0	0	0	0		26	11	3			
40117	攻击永久+2	1	1	1	1	1	3	72	3	1		
40118	体力永久+1	1	1	1	1	1	2	73	3	1		
40119	攻击永久+4	1	1	1	1	1	3	74	3	1		
40120	体力永久+2	1	1	1	1	1	2	75	3	1		
40121	上阵1个2/2且具有挑衅的近卫	0	0	0	0		1	9	3			
40122	上阵1个4/4且具有挑衅的近卫	0	0	0	0		1	10	3			
40123	造成1点伤害	0	0	0	0		26	12	3			
40124	获得2枚宝玉	0	0	0	0		4	1	3			
40125	获得4枚宝玉	0	0	0	0		4	2	3			
40126	挑衅	1	1	1	0		16	5	3			
40127	主公恢复2点体力	0	0	0	0		24	1	3			
40128	主公恢复4点体力	0	0	0	0		24	2	3			
40129	体力+2	0	1	1	1	1	2	76	3	1		
40130	体力+4	0	1	1	1	1	2	77	3	1		
40131	攻击永久+1	1	1	1	1	1	3	78	3	1		
40132	体力永久+1	1	1	1	1	1	2	79	3	1		
40133	攻击永久+2	1	1	1	1	1	3	80	3	1		
40134	体力永久+2	1	1	1	1	1	2	81	3	1		
40135	攻击+1	0	1	1	1	1	3	82	3	1		
40136	体力+1	0	1	1	1	1	2	83	3	1		
40137	攻击+2	0	1	1	1	1	3	84	3	1		
40138	体力+2	0	1	1	1	1	2	85	3	1		
40139	攻击+3	0	1	1	1	1	3	86	3	1		
40140	体力+2	0	1	1	1	1	2	87	3	1		
40141	攻击+6	0	1	1	1	1	3	88	3	1		
40142	体力+4	0	1	1	1	1	2	89	3	1		
40143	体力+2	0	1	1	1	1	2	90	3	1		
40144	体力+4	0	1	1	1	1	2	91	3	1		
40145	体力永久+1	1	1	1	1	1	2	92	3	1		
40146	体力永久+2	1	1	1	1	1	2	93	3	1		
40147	造成2点伤害	0	0	0	0		26	13	3			
40148	造成4点伤害	0	0	0	0		26	14	3			
40149	挑衅	1	1	1	0		16	6	3			
40150	挑衅	1	1	1	0		16	7	3			
40151	攻击+1	0	1	1	1	1	3	94	3	1		
40152	体力+2	0	1	1	1	1	2	95	3	1		
40153	攻击+2	0	1	1	1	1	3	96	3	1		
40154	体力+4	0	1	1	1	1	2	97	3	1		
40155	攻击+5（决讨）	1	1	1	1	1	3	98	3	1		
40156	获得2点经验	0	0	0	0		7	3	3			
40157	获得一张吕布	0	0	0	0		5	3	3			
40158	造成1点伤害（万箭齐发）	0	0	0	0		26	15	3			
40159	攻击-1（南蛮入侵）	0	1	0	1	1	3	99	3			
40160	造成1点伤害（火攻）	0	0	0	0		26	16	3			
40161	获得御策（无懈可击）	0	1	0	1	1	9	8	3			
40162	造成1点伤害（水淹七军）	0	0	0	0		26	17	3			
40163	友方攻击+1(延祸）	1	1	1	1	1	3	100	3	1		
40164	触发招募结束效果1次	0	0	0	0		27	6	3			
40165	触发招募结束效果2次	0	0	0	0		27	7	3			
40166	攻击+1（紫骍）	1	1	1	1	1	3	101	3	1		
40167	体力+1（紫骍）	1	1	1	1	1	3	102	3	1		
40168	攻击+1（惊帆）	1	1	1	1	1	3	103	3	1		
40169	体力+1（惊帆）	1	1	1	1	1	3	104	3	1		
40170	攻击+1（照夜玉狮子）	1	1	1	1	1	3	105	3	1		
40171	体力+1（照夜玉狮子）	1	1	1	1	1	3	106	3	1		
