System	UnlockTitle	Desc	ChessDetails
1			
2			
23			
3			
4			
5			
6			
7			
8			
9			
10			
11			
12			
13	解锁装备系统		
14	解锁势力：蜀	蜀势力武将在上场时会触发不同效果，可以强化场上棋子或者获得更多资源，搭配后可以产生更强效果	[{'title': '具有当先效果', 'chessID1': 20701071, 'chessID2': 20701131}, {'title': '可以与当先效果配合', 'chessID1': 20701061, 'chessID2': 20701191}]
15	解锁势力：魏	魏势力武将技能在条件满足时，有几率触发强力效果，可以通过配合提高效果触发几率	[{'title': '具有判定效果', 'chessID1': 20702061, 'chessID2': 20702111}, {'title': '可以与判定效果配合', 'chessID1': 20702161, 'chessID2': 20702171}]
16	解锁势力：吴	吴势力武将拥有移除场上棋子的效果，移除后触发更强效果。	[{'title': '具有移除效果', 'chessID1': 20703101, 'chessID2': 20703161}, {'title': '可以与移除效果配合', 'chessID1': 20703081, 'chessID2': 20703211}]
17	解锁势力：黄巾	黄巾势力武将拥有遗计效果，可以在战斗中召唤黄巾兵，同时加强黄巾兵战斗力，或者与遗计棋子搭配产生更强的效果	[{'title': '具有遗计效果', 'chessID1': 20704191, 'chessID2': 20704201}, {'title': '可以与遗计效果配合', 'chessID1': 20704171, 'chessID2': 20704211}]
18	解锁势力：汉	汉势力武将拥有在击败武将后触发的效果，同时拥有御策可以抵挡伤害	[{'title': '具有破军效果', 'chessID1': 20705101, 'chessID2': 20705151}, {'title': '具有御策效果', 'chessID1': 20705191, 'chessID2': 20705161}]
19	解锁势力：西凉	西凉武将通过对主公造成伤害触发强力效果，战斗中拥有首次攻击可以触发的效果	[{'title': '主公受伤时效果', 'chessID1': 20706011, 'chessID2': 20706161}, {'title': '具有马术效果', 'chessID1': 20706171, 'chessID2': 20706201}]
20	解锁势力：袁	袁势力武将在战斗中可以造成额外伤害，同时技能可以增加伤害，场上不同的势力会带来更强力效果	[{'title': '额外伤害和增加伤害效果', 'chessID1': 20707191, 'chessID2': 20707071}, {'title': '与场上势力配合效果', 'chessID1': 20707201, 'chessID2': 20707081}]
21	解锁势力：魏	魏势力武将在受到伤害时会触发效果，具有强化或者反击效果	[{'title': '具有受伤效果', 'chessID1': 20702101, 'chessID2': 20702021}, {'title': '可以与受伤效果配合', 'chessID1': 20702151, 'chessID2': 20702201}]
22	解锁势力：吴	吴势力武将在招募阶段结束时会获得强化，战斗中也可以通过技能触发招募阶段效果	[{'title': '具有招募结束效果', 'chessID1': 20703191, 'chessID2': 20703121}, {'title': '可以与招募结束效果配合', 'chessID1': 20703201, 'chessID2': 20703151}]
