ChessID	ChessName	ChessType	MinionType	Gender	ChessRank	DefaultATK	DefaultDEF	ChessSkill	DefaultSkin	ChessSkillDesc	IsShop	RelateUpgradeChessID	SeasonID	IsAvailable	IsInRandomPool	UpgradDialogSoundEffect	ChessStrategy	IsWildCard	ChessSkillSecondDesc	ChessSpecialType	IsSpecialExclusiveChess	ChessScore	ChessRookieType	ChessTag	BroadcastDialog	GodChessType
201101	贾华	2	3	1	1	1	2	[2011011]	jiahua	当先：获得1张刀斧手	1	201201	1	1	1	['jiahua']	推荐；可以更容易获得三连									
201201	贾华	1	3	1	1	2	4	[2012011]	jiahua	当先：获得2张刀斧手	0		1	1	0	['jiahua']										
201102	陆逊	2	3	1	2	2	3	[2011023]	luxun	招募结束时，若你没有手牌，获得1张东吴水兵	1	201202	1	1	1	['luxun']										
201202	陆逊	1	3	1	2	4	6	[2012023]	luxun	招募结束时，若你没有手牌，获得2张东吴水兵	0		1	1	0	['luxun']										
201103	步练师	2	3	2	1	2	3	[2011031]	bulianshi	遗计：使手牌中攻击最高的武将永久获得+1/+1	1	201203	1	1	1	['bulianshi']										
201203	步练师	1	3	2	1	4	6	[2012031]	bulianshi	遗计：使手牌中攻击最高的武将永久获得+2/+2	0		1	1	0	['bulianshi']										
201104	甘宁	2	3	1	2	3	2	[2011041]	ganning	当先：移除1个友方，获得1张锦帆军	1	201204	1	1	1	['ganning']										
201204	甘宁	1	3	1	2	6	4	[2012041]	ganning	当先：移除1个友方，获得2张锦帆军	0		1	1	0	['ganning']										
201105	孙翎鸾	2	3	2	2	2	2	[2011051]	sunlingluan	战斗开始时，获得手牌中攻击最高的武将的属性值	1	201205	1	1	1	['sunlingluan']										
201205	孙翎鸾	1	3	2	2	4	4	[2012051]	sunlingluan	战斗开始时，获得手牌中攻击最高的武将的属性值2次	0		1	1	0	['sunlingluan']										
201106	丁奉	2	3	1	3	4	4	[2011061]	dingfeng	当先：移除1个友方，使其他吴势力友方获得+2/+2	1	201206	1	1	1	['dingfeng']										
201206	丁奉	1	3	1	3	8	8	[2012061]	dingfeng	当先：移除1个友方，使其他吴势力友方获得+4/+4	0		1	1	0	['dingfeng']										
201107	顾雍	2	3	1	3	3	5	[2011071]	guyong	招募结束时，使手牌中2个随机吴势力武将获得+2/+3	1	201207	1	1	1	['guyong']										
201207	顾雍	1	3	1	3	6	10	[2012071]	guyong	招募结束时，使手牌中2个随机吴势力武将获得+4/+6	0		1	1	0	['guyong']										
201108	黄盖	2	3	1	3	3	6	[2011081, 2011082]	huanggai	战斗开始时，受到1点伤害。受到伤害时，使手牌中攻击最高的武将永久获得+1/+1	1	201208	1	1	1	['huanggai']										
201208	黄盖	1	3	1	3	6	12	[2012081, 2012082]	huanggai	战斗开始时，受到1点伤害。受到伤害时，使手牌中攻击最高的武将永久获得+2/+2	0		1	1	0	['huanggai']										
201109	张昭	2	3	1	4	5	5	[2011091]	zhangzhao	武将被移除时，使全体友方获得+2/+2	1	201209	1	1	1	['zhangzhao']										
201209	张昭	1	3	1	4	10	10	[2012091]	zhangzhao	武将被移除时，使全体友方获得+4/+4	0		1	1	0	['zhangzhao']										
201110	韩当	2	3	1	5	5	7	[2011101]	handang	武将被移除时，获得1张解烦卫	1	201210	1	1	1	['handang']										
201210	韩当	1	3	1	5	10	14	[2012101]	handang	武将被移除时，获得2张解烦卫	0		1	1	0	['handang']										
201111	凌统	2	3	1	3	3	3	[2011111]	lingtong	被移除后，回到手牌并永久获得+2/+2	1	201211	1	1	1	['lingtong']										
201211	凌统	1	3	1	3	6	6	[2012111]	lingtong	被移除后，回到手牌并永久获得+4/+4	0		1	1	0	['lingtong']										
201112	孙策	2	3	1	4	6	4	[2011121]	sunce	当先：使手牌中全体吴势力武将获得+4/+4	1	201212	1	1	1	['sunce']										
201212	孙策	1	3	1	4	12	8	[2012121]	sunce	当先：使手牌中全体吴势力武将获得+8/+8	0		1	1	0	['sunce']										
201113	周瑜	2	3	1	4	7	4	[2011131, 2011132]	zhouyu	御策。战斗开始时，对3个随机敌方造成等于你手牌数的伤害	1	201213	1	1	1	['zhouyu']										
201213	周瑜	1	3	1	4	14	8	[2012131, 2012132]	zhouyu	御策。战斗开始时，对3个随机敌方造成等于你手牌数的伤害2次	0		1	1	0	['zhouyu']										
