SkillID	SkillName	SkillDesc	IsScenarioSkill	IsRepeatedWork	SkillPriority	TriggerTyp	TriggerTimes	ActivateRatio	TargetTyp1	TargetPara1	SkillBuff1	AffiliatedSkill	ChessBuffTips	SkillTyp	ChessSkillKeyword	SkillShownName	ScenarioPara	IsHaloSkill	TriggerPara	RelatedSummonMinion	TargetTyp2	SkillBuff2	ActiveTips	TargetPara2	RelatedUpgradeSkillID	SkillOperatingServer	IsWorkInHand	IsGlobalSkill	SkillSpecialEffectType	EffectPlayPosition	TriggerTimesFunction	InheritUpgradSkill	IsTriggerDelete	IsMergeEffect	SkillTriggerCountLimit
10161	白起	战斗开始时，使全体友方获得破军：永久获得+1/+1	1	1	3	5	1	100	6	101612	[10163]	1016	绝伐|破军：永久获得+1/+1																						
10162	白起衍生技	破军：永久获得+1/+1		1	3	48	1	100	1		[10164, 10165]		绝伐|+1/+1	[4]	[4]	绝伐																			
10201	霍去病	战斗开始时，使全体友方永久获得+1/+1（每次战斗胜利额外+1/+1）	1	1	3	5	1	100	6	102012	[10202]	1020	冠军|攻击+1（每次战斗胜利额外+1）																						
10281	决讨	下场战斗开始时，所有友方武将获得+8/+8和御策	1	1	3	5	1	100	6	102812	[10282, 10283, 10284]		决讨|+8/+8和御策				1																		
10341	曹操	魏势力友方每受到2次伤害，使其永久获得+1/+1	1	1	3	35	1	100	1		[1034101, 1034102]	1034	奸雄|+1/+1					1	103411																
10351	刘备	下场战斗开始时，全体蜀势力友方获得咆哮和攻击永久+1	1	1	3	5	1	100	6	103512	[1035102, 1035101]	1035	激将|攻击+1		[9]																				
10401	玄奘孙悟空	下场战斗开始时，对攻击最高的敌方造成其体力一半的伤害	1	1	3	5	1	100	9	104012	[1040101]																								
10391	玄奘沙和尚	下场战斗开始时，使体力最高的敌方攻击和体力交换	1	1	3	5	1	100	9	104212	[1042111]		流沙易势|攻击和体力交换																						
10431	闪汉武帝	下场战斗开始时，最左侧友方吸取所有非该势力友方的属性！（至少保留至1/1）	1	1	3	5	1	100	10	104312	[1043101, 1043102]	1043	尊黜|吸取所有非该势力友方的属性																						
10441	闪汉光武帝	下场战斗开始时，一颗陨石将从天而至！（效果取决于该友方的攻击）	1	1	3	5	1	100	7	104412	[1044101]	1044																							
2011011	贾华	当先：获得1张“刀斧手”		1	3	39	1	100	23		[2011012]			[3]	[3]	摔杯				[201120]															
2012011	贾华金	当先：获得2张“刀斧手”		1	3	39	1	100	23		[2012012]			[3]	[3]	摔杯				[201120]															
2011021	陆逊	你失去最后的手牌时，本武将获得攻击+1		1	3	49	1	100	1		[2011022]		陆逊【连营】|攻击+1			连营			20110211																
2011023	陆逊	招募结束时，若你没有手牌，获得1张东吴水兵		1	3	3	1	100	24		[2011024]			[15]		连营																			
2012021	陆逊金	你失去最后的手牌时，本武将获得攻击+2		1	3	49	1	100	1		[2012022]		陆逊【连营】|攻击+2			连营			20120211																
2012023	陆逊金	招募结束时，若你没有手牌，获得2张东吴水兵		1	3	3	1	100	24		[2012024]			[15]		连营																			
2011031	步练师	遗计：使手牌中攻击最高的武将永久获得+1/+1		1	3	45	1	100	18	20110312	[2011032, 2011033]		步练师【追忆】|+1/+1	[2]	[2]	追忆			20110311																
2012031	步练师金	遗计：使手牌中攻击最高的武将永久获得+2/+2		1	3	45	1	100	18	20120312	[2012032, 2012033]		步练师【追忆】|+2/+2	[2]	[2]	追忆			20120311																
2011041	甘宁	当先：移除1个友方，获得1张“锦帆军”		1	3	39	1	100	21		[2011042]			[3]	[3]	奇袭				[201122]	23	[2011043]	选择一个友方移除，获得1张“锦帆军”												
2012041	甘宁金	当先：移除1个友方，获得2张“锦帆军”		1	3	39	1	100	21		[2012042]			[3]	[3]	奇袭				[201122]	23	[2012043]	选择一个友方移除，获得2张“锦帆军”												
2011051	孙翎鸾	战斗开始时，获得手牌中攻击最高的武将的属性值		1	3	5	1	100	1		[2011052, 2011053]		孙翎鸾【聆乐】|获得手牌中攻击最高武将属性			聆乐																			
2012051	孙翎鸾	战斗开始时，获得手牌中攻击最高的武将的属性值2次		1	3	5	2	100	1		[2012052, 2012053]		孙翎鸾【聆乐】|获得手牌中攻击最高武将属性2次			聆乐																			
2011061	丁奉	当先：移除1个友方，使其他吴势力友方获得+2/+2		1	3	39	1	100	21		[2011062]		丁奉【奋迅】|+2/+2	[3]	[3]	奋迅					6	[2011064, 2011065]	选择一个友方移除，其他吴势力友方获得+2/+2	20110613											
2012061	丁奉	当先：移除1个友方，使其他吴势力友方获得+4/+4		1	3	39	1	100	21		[2012062]		丁奉【奋迅】|+4/+4	[3]	[3]	奋迅					6	[2012064, 2012065]	选择一个友方移除，其他吴势力友方获得+4/+4	20120613											
